smiles,±Í«©,Caspase-3/7 HepG2,CYP1A2 Antag,CYP2C19 Antag,CYP2C9 Antag,CYP3A4 Antag,CYP3A7 Antag,ARE Agon,Mito Membrane Disrupt,ER Stress,ER-beta Agon,PPARg Agon,RAR Agon,ERR Antag,GR Antag,PPARd Antag,PPARg Antag,TR Antag,MDR-1,HPGD Inhib
CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,1,0,1,1,,,,,0,0,0,,,1,1,,1,,,
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,1,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,0,,,,,,,,,,,,,,,,,,,0
CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,1,1,0,,0,,,,1,1,0,,,1,,0,,,,0
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,1,,,,,,0,,0,,,0,,,0,,,0,,0
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,1,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1
CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,1,0,1,1,1,1,,1,,0,0,0,,0,0,,,0,,0
CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],1,,0,0,1,0,1,,0,0,0,,0,1,1,,,,,
CCCC(CCC)C(=O)O,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0
CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,1,,,,,,,,,,,,,,,,,,,
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,1,0,1,1,1,1,,1,0,0,0,0,1,0,0,,,,,0
